Realization start 
0 0 white
0 1 white
0 2 white
0 3 white
0 4 white
1 0 white
1 1 white
1 2 white
1 3 white
1 4 white
2 0 white
2 1 white
2 2 white
2 3 gray
2 4 gray
3 0 white
3 1 gray
3 2 white
3 3 white
3 4 gray
4 0 white
4 1 gray
4 2 white
4 3 gray
4 4 white
End realization
Realization start 
0 0 white
0 1 white
0 2 white
0 3 white
0 4 white
1 0 white
1 1 white
1 2 white
1 3 white
1 4 white
2 0 white
2 1 white
2 2 white
2 3 gray
2 4 gray
3 0 white
3 1 white
3 2 white
3 3 white
3 4 gray
4 0 white
4 1 white
4 2 gray
4 3 white
4 4 white
End realization
Realization start 
0 0 white
0 1 white
0 2 white
0 3 white
0 4 white
1 0 white
1 1 white
1 2 white
1 3 white
1 4 white
2 0 white
2 1 white
2 2 white
2 3 gray
2 4 gray
3 0 white
3 1 white
3 2 white
3 3 white
3 4 gray
4 0 white
4 1 white
4 2 white
4 3 white
4 4 white
End realization
Realization start 
0 0 white
0 1 white
0 2 white
0 3 white
0 4 white
1 0 white
1 1 white
1 2 white
1 3 white
1 4 white
2 0 white
2 1 white
2 2 white
2 3 gray
2 4 gray
3 0 white
3 1 white
3 2 white
3 3 gray
3 4 gray
4 0 white
4 1 white
4 2 white
4 3 white
4 4 white
End realization
Realization start 
0 0 white
0 1 white
0 2 white
0 3 white
0 4 white
1 0 white
1 1 white
1 2 white
1 3 white
1 4 white
2 0 white
2 1 white
2 2 white
2 3 gray
2 4 gray
3 0 white
3 1 white
3 2 white
3 3 gray
3 4 gray
4 0 white
4 1 white
4 2 white
4 3 white
4 4 white
End realization
